player_name,real_name,nationality,team,player_status
0waRy,,Japan,TSURUGI eSports,Active
1000Eyes,Tessa Steis,United States,,Active
1Fumeta,Gabriel Reinhardt,Brazil,,Active
1ief,Peter Benney,Australia,,Active
1ndraking,Sebastián Ezequiel Niz,Argentina,Pirate Dream Esports,Active
1tappy,,Japan,V3 VEGA,Active
1Worst,Julio Augusto,Brazil,,Active
247,,Japan,,Active
3Mz,Hu Wang,China,DreamFire,Active
4SeTz,José Vinicius Testoni,Brazil,,Active
5CG,,Japan,IGZIST,Active
788,Masaki Tamanaha,Japan,RIG North,Active
7Hyperz,,Colombia,,Active
7ouzz,Guillermo Matías Ignacio Villar Pinto,Chile,Dood Esports,Active
7ozzzus,Vladimir Vorotilov,Russia,Name1ess,Active
836,,Japan,,Retired
9impulse,Kirill Kostiv,Belarus,ZETA DIVISION,Active
A1one,Wenlong Xu,China,,Active
abara,Kota Suzuki,Japan,,Active
Accentiii,Niclas Riedel,Germany,,Active
ACEKTM7,Austin Evans,United States,,Active
aceu,Brandon Winn,United States,NRG,Retired
Ack,Stephen Osiki,United States,BLVKHVND,Active
Aeon,Ramzi Geysen,Belgium,,Retired
Aesir,,Japan,,Retired
Aggrasive,Swapnil Chowdhury,Bangladesh,,Active
ahn2e,Kim Gun-ho,South Korea,FAV gaming,Active
AhnuG,,Japan,LEDIAN MAGICAL,Active
aidanthedestroye,Aidan Macmillan,Canada,Oxygen Esports,Active
Aimbot,,South Korea,FAV gaming,Active
aimbotmachin3,Khrys Torres,Argentina,TENGAA,Active
AirSaaan,Ben Ruffels,Australia,,Retired
aizer,Eduardo Ribeiro,Brazil,,Retired
Ak1to,Shota Iizuka,Japan,DeToNator,Retired
Aka,Kim Su-hwan,South Korea,,Retired
akeu,Daniel Vesely,Czech Republic,,Retired
Akim4XD,Muhammad Amirul Hakim,Malaysia,,Active
Aladdin,Grant LaBelle,United States,,Retired
Albralelie,Mac Kenzie Beckwith,United States,TSM,Active
Aldgia,Jessie Barger,United States,,Retired
AlejandroSuntay,Alejandro Suntay,United States,,Retired
Alelu,,Japan,DeToNator,Retired
AlexDoubleU,Alex Wilson,United Kingdom,,Retired
Alhdar,Marion Pereda,Chile,,Active
alkaliion,,Japan,,Retired
Almaynx,Poovanon Thuvanalin,Thailand,,Retired
AlpaN,Sigeru Maki,Japan,Pro Gaming team Selector,Active
AlphaDraft,David Ciura,Poland,Rascals,Active
